name,level,status,source_path,snapshot_path,size_bytes,sha256,note
eep_pool_summary,A,passed,hfss_outputs/v09_eep_development_candidates_20260726_run01/prepare_summary.json,baselines/2026-07-26-v09-adaptive-hfss/snapshots/eep_pool_summary.json,754,98d1b67502758106a285b462fb8bbb8ae047d64545c36c6bf3be912344022b90,"Sixty independent scenes and 1,920 no-control sparse EEP/S256 candidates."
development_summary,A,passed,hfss_outputs/v09_margin_development_dataset_20260726_run01/prepare_summary.json,baselines/2026-07-26-v09-adaptive-hfss/snapshots/development_summary.json,1765,36d6b12217bfcf5852578948cfa32d81104842afb888361b02de794242343f55,Scene-grouped 420-candidate physical-margin development set.
development_groups,A,diagnostic,hfss_outputs/v09_margin_development_dataset_20260726_run01/distribution_by_split_k_ratio.csv,baselines/2026-07-26-v09-adaptive-hfss/snapshots/development_groups.csv,2208,0a8dc866edc8d30dd02b52050fff9cb0ec9fd73f808d2a34884a88ecc6966826,"K, ratio, split, and boundary-label support."
critic_summary,A,passed,hfss_outputs/v09_physical_margin_critic_20260726_run02/training_summary.json,baselines/2026-07-26-v09-adaptive-hfss/snapshots/critic_summary.json,6870,2f111faafbf33a065249fe76aca6405fb42da3d585c2f28f626d29075f75fb2f,Five-seed scene-conditioned physical-margin residual critic.
critic_metrics,A,diagnostic,hfss_outputs/v09_physical_margin_critic_20260726_run02/five_seed_metrics.csv,baselines/2026-07-26-v09-adaptive-hfss/snapshots/critic_metrics.csv,4308,d78ae89e39568301ba2c7e1d76ec8b3896598e9f182de1e46bca03684dd6c96c,"Five-seed discrimination, calibration, and no-control ranking metrics."
checkpoint_20260726,A,ensemble_checkpoint,hfss_outputs/v09_physical_margin_critic_20260726_run02/seed_20260726/best_checkpoint.pt,baselines/2026-07-26-v09-adaptive-hfss/snapshots/checkpoint_20260726.pt,773521,e21ae2c3f72220b2010c02073d4596462e7e8b1b78033ec822aa63d8b92680be,Frozen physical-margin ensemble member.
checkpoint_20260727,A,ensemble_checkpoint,hfss_outputs/v09_physical_margin_critic_20260726_run02/seed_20260727/best_checkpoint.pt,baselines/2026-07-26-v09-adaptive-hfss/snapshots/checkpoint_20260727.pt,773521,f84686110b1e2d802a6232f28305c964278d0f84c6821f0c4a3fac4f250b7f6b,Frozen physical-margin ensemble member.
checkpoint_20260728,A,ensemble_checkpoint,hfss_outputs/v09_physical_margin_critic_20260726_run02/seed_20260728/best_checkpoint.pt,baselines/2026-07-26-v09-adaptive-hfss/snapshots/checkpoint_20260728.pt,773521,a245672d5174c90ab2bbffd194eb5004e1308c7d9ae96670080a4b9dee42d11a,Frozen physical-margin ensemble member.
checkpoint_20260729,A,ensemble_checkpoint,hfss_outputs/v09_physical_margin_critic_20260726_run02/seed_20260729/best_checkpoint.pt,baselines/2026-07-26-v09-adaptive-hfss/snapshots/checkpoint_20260729.pt,773521,411f95e0376b950cc26ef02bdb6b74cff8d04f493d7f3a1429d90e8ead6afb88,Frozen physical-margin ensemble member.
checkpoint_20260730,A,ensemble_checkpoint,hfss_outputs/v09_physical_margin_critic_20260726_run02/seed_20260730/best_checkpoint.pt,baselines/2026-07-26-v09-adaptive-hfss/snapshots/checkpoint_20260730.pt,773521,08ae076d385f9aab9d6608cbdd1b5362463340cc1bb621e12b994c96d8452ae3,Frozen physical-margin ensemble member.
