name,level,status,source_path,snapshot_path,size_bytes,sha256,note
active_rl_audit,A,passed,hfss_outputs/trusted_active_rl_audit_20260724_run02/active_rl_audit_summary.json,baselines/2026-07-24-active-rl-joint/snapshots/active_rl_audit.json,1968,d502fd811c76d37800bca10294f57745125b5f72ffc16933d61cfd6c19635fc8,Combined/task and amplitude-threshold active-RL semantics audit on 96 trusted candidates.
active_rl_groups,A,diagnostic,hfss_outputs/trusted_active_rl_audit_20260724_run02/active_rl_group_summary.csv,baselines/2026-07-24-active-rl-joint/snapshots/active_rl_groups.csv,13400,48f80e6f72e7e7273c9b523df82d01d498899c5f68099a153057ded76b81af8c,"Active-RL audit grouped by K, ratio, and scan class."
joint_optimization_summary,A,passed,hfss_outputs/trusted_eep_s256_joint_optimization_20260724_run03/optimization_summary.json,baselines/2026-07-24-active-rl-joint/snapshots/joint_optimization_summary.json,668,c407c823fc47bab24af67e1f7c59e549176a57cb31669153e8e84c49ef7d9857,Full 96-candidate trusted EEP/S256 joint projection summary.
joint_candidate_metrics,A,diagnostic,hfss_outputs/trusted_eep_s256_joint_optimization_20260724_run03/optimization_candidate_metrics.csv,baselines/2026-07-24-active-rl-joint/snapshots/joint_candidate_metrics.csv,43615,7e569766f14aaa5077dab420c143d4fe9b5651164275c10d70a3ecb3ae46c47e,"Paired baseline/optimized pattern, matching, gain, and gate metrics."
joint_trials,A,diagnostic,hfss_outputs/trusted_eep_s256_joint_optimization_20260724_run03/optimization_trials.csv,baselines/2026-07-24-active-rl-joint/snapshots/joint_trials.csv,60859,2090a6c622dae3f81a74e206ad7549b8465d355804768bcf1a8cb9553c583ed2,Three projection configurations per candidate.
joint_weights,A,eep_only,hfss_outputs/trusted_eep_s256_joint_optimization_20260724_run03/optimized_task_weights.npz,baselines/2026-07-24-active-rl-joint/snapshots/joint_weights.npz,1157183,754da940200d7edd058ced6f1c41f6942b2d1f6e2d988f1aec8ec7b9fca0ff80,Task-level and combined external weights with w=sum(w_k).
smoke_decision,A,hfss_locked,hfss_outputs/trusted_eep_s256_joint_smoke_decision_20260724_run01/hfss_label_generation_decision.json,baselines/2026-07-24-active-rl-joint/snapshots/smoke_decision.json,1513,e6610e0641fd9e5c7e16a6e9292adc4d6eefcc5b75d45ebf6185bca01b14363a,Authoritative decision after the 96-candidate optimization smoke.
smoke_groups,A,diagnostic,hfss_outputs/trusted_eep_s256_joint_smoke_decision_20260724_run01/smoke_summary_by_k_ratio_scan.csv,baselines/2026-07-24-active-rl-joint/snapshots/smoke_groups.csv,7805,6dfa57a8258de5d00320718ceb1bfb7978f3778207e702ca3aad17bdf8679eb8,"Joint-gate statistics by K, ratio, and scan class."
scene_oracle,A,diagnostic,hfss_outputs/trusted_eep_s256_joint_smoke_decision_20260724_run01/scene_minimum_ratio_oracle.csv,baselines/2026-07-24-active-rl-joint/snapshots/scene_oracle.csv,1299,9efbfc248c3ece05e9d0777c264bd54743f8d04d321aaf12553317f2056e9f09,Scene-level minimum sparse-ratio oracle.
next_priority,A,diagnostic,hfss_outputs/trusted_eep_s256_joint_smoke_decision_20260724_run01/next_optimization_priority_candidates.csv,baselines/2026-07-24-active-rl-joint/snapshots/next_priority.csv,13481,053a42739f2656c1a5853fe88d32f06689a54af5712089a845f4481a76f2d778,Prioritized sparse positives and multibeam direction failures for dense regional projection.
