name,level,status,source_path,snapshot_path,size_bytes,sha256,note
requirements,A,policy,docs/EXPERIMENT_REQUIREMENTS_AND_REBUILD_DECISION_20260717.md,baselines/2026-07-21/snapshots/requirements.md,4941,b69a0587673a2f56c89b687e66cb34c34c9c01ca947812d4313e32470c670a37,Frozen research gates and rebuild decision.
patch_1x1,A,passed,hfss_outputs/grounded_patch_direct_1x1_20260717_run01/stage_summary.json,baselines/2026-07-21/snapshots/patch_1x1.json,1104,e218a58f0c1e3023844bc54d1c8863eea3105ea203c7685e07cbd2a9a8ead928,Converged matched 1x1 HFSS gate.
patch_4x4,A,passed,hfss_outputs/grounded_patch_direct_4x4_20260717_run01/stage_summary.json,baselines/2026-07-21/snapshots/patch_4x4.json,1107,7026450b9a1d989e0f3b044d160884666f18dae9916cc18c9c9a86845f4e96f5,Converged matched 4x4 HFSS gate.
patch_8x8,A,passed,hfss_outputs/grounded_patch_direct_8x8_eep_gate_20260717_run02/stage_summary.json,baselines/2026-07-21/snapshots/patch_8x8.json,1074,902088a91955f5a551f234bb92238b6dbf890ba97f8f074fabce1882d19428b4,Converged matched 8x8 HFSS gate.
eep_operator,C,pipeline_only,hfss_outputs/grounded_patch_eep256_resource_smoke_20260717_run01/operator_analysis_summary.json,baselines/2026-07-21/snapshots/eep_operator.json,673,03eba5a6d0736de55a83acdca5a6a4da8805d13b4ee75113e964696d929f19f1,256-port EEP structural audit.
eep_superposition,C,pipeline_only,hfss_outputs/grounded_patch_eep256_resource_smoke_20260717_run01/superposition_analysis_summary.json,baselines/2026-07-21/snapshots/eep_superposition.json,757,7f9d80f933bc4e0834cb62ffa44586b269054f3d5df35b1f18e4fa672306069e,Three-case direct superposition validation.
joint_smoke,B,blocked,hfss_outputs/grounded_patch_eep_hfss_joint_smoke_stage_20260717_run01/stage_decision.json,baselines/2026-07-21/snapshots/joint_smoke.json,1527,32873de34191636c21509dad3fbe587cfe21ac66f2ac45c96fd7b19ab433028f,EEP/HFSS smoke stage decision.
label_decision,B,locked,hfss_outputs/grounded_patch_eep_hfss_joint_smoke_stage_20260717_run01/hfss_training_label_decision.json,baselines/2026-07-21/snapshots/label_decision.json,207,0a87b10643b3838693722062295976e938a888ad5f6e207013aef68c42b93d7c,Authoritative full-wave label decision.
task_lcmv,D,proxy_only,hfss_outputs/grounded_patch_task_lcmv_psll_20260717_run01/summary.json,baselines/2026-07-21/snapshots/task_lcmv.json,814,bbe79f903e5d4f43c8c27212de697ac2ca85fa5969ff4a6788090fe479ec5361,AF plus synthesized S256 task optimization.
s256_proxy,D,proxy_only,hfss_outputs/grounded_patch_s256_proxy_20260717_run02/summary.json,baselines/2026-07-21/snapshots/s256_proxy.json,2017,9030fda3a6f363a64c09a6653b40e197c310c2e87bb3ddf2922776a3f8ed4f49,Local-kernel S256 proxy audit.
active_projection,D,proxy_only,hfss_outputs/grounded_patch_active_rl_projection_20260717_run04_prune12_strong/active_return_projection_summary.json,baselines/2026-07-21/snapshots/active_projection.json,2326,21faa897e993a0706ca8cf0cb0eb2fcf78dc0d53aee9424d889c4339776e1312,Active-return projection results.
dataset,B,legacy_baseline,hfss_outputs/multitask_dataset/stage1_fullwave_residual_dataset_v2_20260714/build_summary.json,baselines/2026-07-21/snapshots/dataset.json,2426,c148c983733d323b1cb300a154a00dd1026658c00876a78f87540e69f7011888,Scene-grouped residual dataset summary.
critic,B,pretraining_only,hfss_outputs/multitask_dataset/training_runs/fullwave_residual_critic_v2_20260714/five_seed_summary.json,baselines/2026-07-21/snapshots/critic.json,6285,d3abce986d64adc1d0bff78984df42943c384473e49f650f9a2577a7b42451c5,Five-seed residual critic metrics.
