name,level,status,source_path,snapshot_path,size_bytes,sha256,note
protocol,A,pre_registered,configs/v201_pareto_joint_feasibility_rescue.json,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/protocol.json,1808,7061a84dbf7d1a8bcd87d01476f309785420a34a9a51bf550cd8e443d4d3a5bc,"Frozen v20.1 alpha, Pareto, rescue, stage-gate, and downstream-lock protocol."
alpha_summary,A,passed_no_reserve,hfss_outputs/v201_dense_alpha_eep_20260729_run01/summary.json,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/alpha_summary.json,1046,9780296558ab2dbc2927689a1ef088724c7b3fcf94e48c201343746fbc115f7e,Dense five-state EEP alpha validation for the two preregistered candidate neighborhoods.
alpha_metrics,A,diagnostic,hfss_outputs/v201_dense_alpha_eep_20260729_run01/dense_alpha_summary.csv,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/alpha_metrics.csv,370,30e7e5b7ac12a82f1635f60d9b75f30e8489d519b9e0711901364767605ba7c0,Best exact alpha and physical margins for both requested candidates.
warm_summary,A,completed,hfss_outputs/v201_warm_mask_pareto_screen_20260729_run01/summary.json,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/warm_summary.json,526,761c1c109691e253cc3d560aa706335aef53b7e10f8a62fa35d0ee63db1278d5,"Five-state warm EEP screening of all 2,304 existing masks."
pareto_selection,A,diagnostic,hfss_outputs/v201_warm_mask_pareto_screen_20260729_run01/pareto_selection.csv,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/pareto_selection.csv,225031,44c170e6c3a7c86918c1caad9202fcbfbb38ff5dc8f190b8cb2e5f6203f7b500,"Four-role pattern, active-RL, max-min, and Pareto-knee selections for 72 scene-ratio groups."
rescue_summary,A,failed_gate,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/summary.json,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/rescue_summary.json,492,e1407d964d6d8f14c62774250cf13d9c207895186d93fe52aecaeffe66adc20a,K=2/K=4 progressive three-frequency joint-feasibility rescue summary.
scene_oracle,A,diagnostic,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/k24_scene_oracle.csv,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/scene_oracle.csv,937,51d6b3b876b520c32517735d461b01cba284756582011ca194a9203b0818b070,"Combined v20, dense-alpha, and Pareto-rescue scene oracle."
selected_paths,A,diagnostic,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/selected_path_metrics.csv,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/selected_paths.csv,225133,4825b07cf445a8baa18ba7aa9acbc18380cd5b8f06cbc64efd38a3faff219e48,Best command and physical margins on each of the 128 rescued Pareto paths.
stop_audit,A,diagnostic,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/k24_stop_decision_audit.csv,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/stop_audit.csv,2578,9f3bde414a9a4f6cbae0fee8245b662bc2bc5a400d35a79984c90c4ef7bddd94,Per-scene v20 comparison and limiting state/constraint audit.
stop_decision,A,algorithm_expansion_stopped,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/stop_decision.json,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/stop_decision.json,963,167d8f141e04fb2776e1f23a4a53b96bdd7521589fc1d422a48094d1f47b99d6,Machine-readable preregistered stop decision.
stage_decision,A,authoritative,hfss_outputs/v201_k24_progressive_rescue_20260729_run01/STAGE_DECISION.md,baselines/2026-07-29-v112-pareto-joint-feasibility/snapshots/stage_decision.md,2732,506bb6d740c9c012078252b0f1af574cd939b84eca7e08f7a4040f8172875964,Human-readable v20.1 result and downstream decision.
